time_s,cmd_vx,cmd_vy,cmd_vz,vel_vx,vel_vy,vel_vz,roll,pitch,yaw,p,q,r,rpm1,rpm2,rpm3,rpm4
3.201999999999999957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.296160793802470490e-18,1.339686512947082520e+00,-2.400228520855307579e-03,-8.179917631040917181e-02,-1.368610545575155464e-19,-1.462818753432835381e-19,5.357665340605547583e-02,-5.343214532019134386e-20,-3.963572298499940087e-19,1.865074622650361334e+03,1.871515715118463277e+03,1.871515715118463277e+03,1.865074622650361334e+03
3.202999999999999847e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.297486971119546131e-18,1.339979410171508789e+00,-2.394390525296330452e-03,-8.174559965701594377e-02,-1.369466831279407523e-19,-1.466725437392666593e-19,5.360295037523594985e-02,-5.345197345443400596e-20,-3.633274606958278493e-19,1.865083575746408314e+03,1.871499303679884406e+03,1.871499303679884406e+03,1.865083575746408314e+03
3.204000000000000181e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.298857816189699636e-18,1.340271592140197754e+00,-2.388551132753491402e-03,-8.169199670665354407e-02,-1.370296143744651486e-19,-1.470302955602472240e-19,5.362914349764101585e-02,-5.347015816535909186e-20,-3.963572298499940087e-19,1.865092506888087200e+03,1.871482911860642844e+03,1.871482911860642844e+03,1.865092506888087200e+03
3.205000000000000071e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.300184820687387831e-18,1.340563297271728516e+00,-2.382710110396146774e-03,-8.163836756316877885e-02,-1.371152389486191829e-19,-1.474209700329921299e-19,5.365526642218566844e-02,-5.349000572561133688e-20,-3.963572298499940087e-19,1.865097325283056307e+03,1.871470616651786031e+03,1.871470616651786031e+03,1.865097325283056307e+03
3.205999999999999961e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.301556492938153889e-18,1.340854167938232422e+00,-2.376867923885583878e-03,-8.158471229675945402e-02,-1.372008623475100262e-19,-1.478116474802733144e-19,5.368126870281090396e-02,-5.350986295367263252e-20,-3.633274606958278493e-19,1.865108306505897190e+03,1.871452176664704666e+03,1.871452176664704666e+03,1.865108306505897190e+03
3.206999999999999851e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.302928371984073086e-18,1.341144561767578125e+00,-2.371024107560515404e-03,-8.153103102806952274e-02,-1.372837937182798706e-19,-1.481694079263459568e-19,5.370720092283065572e-02,-5.352807423395886940e-20,-3.633274606958278493e-19,1.865113105941152071e+03,1.871439895829024863e+03,1.871439895829024863e+03,1.865113105941152071e+03
3.208000000000000185e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.304256720650256679e-18,1.341434240341186523e+00,-2.365179127082228661e-03,-8.147732382715960897e-02,-1.373667240300823350e-19,-1.485271713421865642e-19,5.373302937675039637e-02,-5.354629431170720991e-20,-3.633274606958278493e-19,1.865122022774157358e+03,1.871423509019475205e+03,1.871423509019475205e+03,1.865122022774157358e+03
3.209000000000000075e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.305585379509169980e-18,1.341723322868347168e+00,-2.359332516789436340e-03,-8.142359079779577791e-02,-1.374496532823467425e-19,-1.488849377301433989e-19,5.375877098106898039e-02,-5.356452315171518153e-20,-3.963572298499940087e-19,1.865128871303629012e+03,1.871409181025152066e+03,1.871409181025152066e+03,1.865128871303629012e+03
3.209999999999999964e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.306914555355966126e-18,1.342011690139770508e+00,-2.353484742343425751e-03,-8.136983202682764038e-02,-1.375352670213129433e-19,-1.492756275039787065e-19,5.378440896444092872e-02,-5.358441868568320910e-20,-3.963572298499940087e-19,1.865137768109485478e+03,1.871392809416247928e+03,1.871392809416247928e+03,1.865137768109485478e+03
3.210999999999999854e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.308288192160686998e-18,1.342299461364746094e+00,-2.347635570913553238e-03,-8.131604761787616931e-02,-1.376208795818942612e-19,-1.496663202642588231e-19,5.380996023108883947e-02,-5.360432370798885218e-20,-3.963572298499940087e-19,1.865144598391005502e+03,1.871378495422172136e+03,1.871378495422172136e+03,1.865144598391005502e+03
3.212000000000000188e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.309662449350867284e-18,1.342586636543273926e+00,-2.341785002499818802e-03,-8.126223765765805407e-02,-1.377064909634740378e-19,-1.500570160134073630e-19,5.383542475262066002e-02,-5.362423818653920261e-20,-3.963572298499940087e-19,1.865151430975313815e+03,1.871364176723185437e+03,1.871364176723185437e+03,1.865151430975313815e+03
3.213000000000000078e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.311037120131353847e-18,1.342873096466064453e+00,-2.335933269932866096e-03,-8.120840223291843352e-02,-1.377921011654378048e-19,-1.504477147538446184e-19,5.386078576882382535e-02,-5.364416208923083785e-20,-3.963572298499940087e-19,1.865160310418357540e+03,1.871347815683907129e+03,1.871347815683907129e+03,1.865160310418357540e+03
3.213999999999999968e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.312412204502146686e-18,1.343158960342407227e+00,-2.330080373212695122e-03,-8.115454144716262308e-02,-1.378777101871756927e-19,-1.508384164879867405e-19,5.388606017603432552e-02,-5.366409537775757103e-20,-3.633274606958278493e-19,1.865167124575468279e+03,1.871333511597397546e+03,1.871333511597397546e+03,1.865167124575468279e+03
3.214999999999999858e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.313787495668092664e-18,1.343444228172302246e+00,-2.324226079508662224e-03,-8.110065538699960663e-02,-1.379606413406726412e-19,-1.511962000853051659e-19,5.391124795330851094e-02,-5.368237613320728990e-20,-3.633274606958278493e-19,1.865173940088562858e+03,1.871319203676495135e+03,1.871319203676495135e+03,1.865173940088562858e+03
3.216000000000000192e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.315119256454303038e-18,1.343728780746459961e+00,-2.318370621651411057e-03,-8.104674413905937902e-02,-1.380435714307038874e-19,-1.515539866715159684e-19,5.393633234531170634e-02,-5.370066543356816324e-20,-3.302976915416616900e-19,1.865182801805492318e+03,1.871302853926266835e+03,1.871302853926266835e+03,1.865182801805492318e+03
3.217000000000000082e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.316451327433243120e-18,1.344012618064880371e+00,-2.312513999640941620e-03,-8.099280780672714342e-02,-1.381238273189601183e-19,-1.518788548275800918e-19,5.396131351937639986e-02,-5.371729980647611528e-20,-3.302976915416616900e-19,1.865191642133304640e+03,1.871286523514824466e+03,1.871286523514824466e+03,1.865191642133304640e+03
3.217999999999999972e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.317739454442141323e-18,1.344295978546142578e+00,-2.306655980646610260e-03,-8.093884649322086178e-02,-1.382040822607246262e-19,-1.522037259675373596e-19,5.398622509060949093e-02,-5.373394188376712311e-20,-3.302976915416616900e-19,1.865196374202040715e+03,1.871274286164067689e+03,1.871274286164067689e+03,1.865196374202040715e+03
3.218999999999999861e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.319028098438922371e-18,1.344578623771667480e+00,-2.300797030329704285e-03,-8.088486026814335761e-02,-1.382843362554836212e-19,-1.525286000936104394e-19,5.401103338018744399e-02,-5.375059164397515073e-20,-3.302976915416616900e-19,1.865205220392947922e+03,1.871257945891125701e+03,1.871257945891125701e+03,1.865205220392947922e+03
3.220000000000000195e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.320317052628433126e-18,1.344860553741455078e+00,-2.294936915859580040e-03,-8.083084923477630579e-02,-1.383645893027299576e-19,-1.528534772080180748e-19,5.403573856323860142e-02,-5.376724905524735113e-20,-3.633274606958278493e-19,1.865214044207953066e+03,1.871241625872564555e+03,1.871241625872564555e+03,1.865214044207953066e+03
3.221000000000000085e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.321606523805826727e-18,1.345142006874084473e+00,-2.289075404405593872e-03,-8.077681349622621576e-02,-1.384475074304438870e-19,-1.532112793108131694e-19,5.406037424957049753e-02,-5.378558058883864845e-20,-3.633274606958278493e-19,1.865218760427748066e+03,1.871229398334616690e+03,1.871229398334616690e+03,1.865218760427748066e+03
3.221999999999999975e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.322940662736298192e-18,1.345422744750976562e+00,-2.283212961629033089e-03,-8.072275312198981534e-02,-1.385304244913288145e-19,-1.535690844159899988e-19,5.408490676897244331e-02,-5.380392048004517148e-20,-3.963572298499940087e-19,1.865227589638016980e+03,1.871213068795252411e+03,1.871213068795252411e+03,1.865227589638016980e+03
3.222999999999999865e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-1.324275008461922794e-18,1.345702767372131348e+00,-2.277349587529897690e-03,-8.066866821523402398e-02,-1.386160029537572921e-19,-1.539598148117423013e-19,5.410933629208914547e-02,-5.382393671330612754e-20,-3.633274606958278493e-19,1.865236397272773502e+03,1.871196759216167720e+03,1.871196759216167720e+03,1.865236397272773502e+03
